Comment,Designator,Footprint,LCSC PN
SW_Push,"SW2,SW1",SW_Push_SPST_NO_Alps_SKRK,C115357
LED,"D1,D2",LED_0603_1608Metric,C2286
10k,R4,R_0402_1005Metric,C25531
100nF,"C5,C7,C2,C4,C6",C_0402_1005Metric,C1525
27nH,L1,L_0603_1608Metric,C12100
1.5k,R3,R_0402_1005Metric,C25930
1uF,"C8,C1,C9,C10,C11",C_0603_1608Metric,C1592
100R,FB1,L_0805_2012Metric,C1015
STM32F103C8T6,U2,LQFP-48_7x7mm_P0.5mm,C8734
8M,Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,C115962
4.7uF,C3,C_0603_1608Metric,C1705
4.7k,R2,R_0402_1005Metric,C25900
30pF,"C12,C13",C_0402_1005Metric,C277479
1.5k,R1,R_0603_1608Metric,C22843
1.5k,R5,R_0402_1005Metric,C25867
USB_B_Micro,J1,USB_Micro-B_Wuerth_629105150521,C2894326
TLV75533PDRV,U1,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C2861750